županija,mjesec,broj dolazaka domaćih turista,broj dolazaka stranih turista,broj noćenja domaćih turista,broj noćenja stranih turista
Istra,1,16299,23801,45640,104961
Kvarner,1,18512,14735,45381,70990
Ličko-senjska,1,4655,2471,9680,5169
Zadarska,1,5372,5232,13116,26350
Šibensko-kninska,1,4639,1904,11553,8908
Splitsko-dalmatinska,1,9406,11794,20955,54097
Dubrovačko-neretvanska,1,3794,8391,9235,29110
Grad Zagreb,1,23188,46275,43275,109078
Bjelovarsko-bilogorska,1,1426,487,4380,2261
Brodsko-posavska,1,949,1544,2068,2475
Karlovačka,1,3343,2389,7709,4457
Koprivničko-križevačka,1,450,400,992,1166
Krapinsko-zagorska,1,8827,3256,19594,7902
Međimurska,1,3898,2155,8675,6940
Osječko-baranjska,1,5302,1969,10581,5854
Požeško-slavonska,1,1068,283,3531,719
Sisačko-moslavačka,1,1307,768,4790,2116
Varaždinska,1,3496,2904,9474,8218
Virovitičko-podravska,1,720,420,1497,1648
Vukovarsko-srijemska,1,5843,688,8136,1515
Zagrebačka,1,3637,3696,6886,6843
Istra,2,22218,42703,52647,144134
Kvarner,2,27285,24495,63107,82749
Ličko-senjska,2,3164,2593,6846,5386
Zadarska,2,8527,6089,18746,26811
Šibensko-kninska,2,7365,2934,14766,11323
Splitsko-dalmatinska,2,13893,13374,28145,54046
Dubrovačko-neretvanska,2,7417,11208,16505,36039
Grad Zagreb,2,24961,41527,43729,92010
Bjelovarsko-bilogorska,2,1105,376,3025,1687
Brodsko-posavska,2,1392,1226,2262,2059
Karlovačka,2,2285,1726,4069,3316
Koprivničko-križevačka,2,843,428,1510,1313
Krapinsko-zagorska,2,9458,3782,19094,9194
Međimurska,2,4628,2498,9618,6250
Osječko-baranjska,2,6558,2564,11790,7499
Požeško-slavonska,2,1296,317,3886,620
Sisačko-moslavačka,2,1397,533,4158,1333
Varaždinska,2,3650,1604,7894,3210
Virovitičko-podravska,2,753,344,1684,876
